Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status,sensor
55.0,21.707,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_0,1004.5,22.4,22.5,22.4,72.0,17.1,18.6,8.0,2.01,19.3,22.4,22.9,22.9,21.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.042,72.8,0.0,2021-08-27 00:00:00,Visited,1
58.0,21.521,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,0.0,2021_8_27_0_3,1004.5,22.1,22.3,22.1,74.0,17.2,18.6,8.0,2.01,19.3,22.1,22.6,22.6,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,73.7,0.0,2021-08-27 00:03:00,Visited,4
100.0,21.409,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,1.0,2021_8_27_1_1,1004.7,21.7,21.9,21.6,76.0,17.3,18.5,8.0,2.01,16.1,21.7,22.2,22.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,76.6,0.0,2021-08-27 01:01:00,Visited,6
119.0,21.315,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_0,1004.6,21.4,21.7,21.3,77.0,17.2,18.4,4.8,1.21,16.1,21.4,22.0,22.0,20.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.032,79.0,0.0,2021-08-27 02:00:00,Visited,5
121.0,20.597,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_2,1004.5,21.2,21.2,21.1,78.0,17.2,18.3,6.4,1.61,16.1,21.2,21.8,21.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,79.2,0.0,2021-08-27 02:02:00,Visited,3
125.0,20.755,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,3.0,2021_8_27_3_2,1004.8,21.0,21.3,21.0,75.0,16.4,17.7,12.9,3.22,25.7,20.6,21.5,21.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,74.6,0.0,2021-08-27 03:02:00,Visited,4
127.0,19.872,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,4.0,2021_8_27_4_0,1005.4,19.7,20.2,19.7,80.0,16.2,17.3,14.5,3.62,32.2,19.0,20.3,19.5,18.4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.014,77.9,0.0,2021-08-27 04:00:00,Visited,6
130.0,19.108,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,4.0,2021_8_27_4_3,1006.3,18.8,19.3,18.8,81.0,15.5,16.6,14.5,3.62,30.6,18.1,19.3,18.6,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,78.8,0.0,2021-08-27 04:03:00,Visited,5
121.0,20.597,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,2.0,2021_8_27_2_2,1004.5,21.2,21.2,21.1,78.0,17.2,18.3,6.4,1.61,16.1,21.2,21.8,21.8,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,79.2,0.0,2021-08-27 02:02:00,Visited,3
135.0,17.99,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,6.0,2021_8_27_6_0,1006.8,17.8,18.0,17.8,84.0,15.1,16.0,12.9,3.22,24.1,17.4,18.1,17.7,16.4,0.0,0.0,0.0,0.0,0.0,0.03,0.005,0.0,82.5,0.0,2021-08-27 06:00:00,Visited,4
