Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,sensor
102,21.047,1679,2021,8,34,239,27,5,1,2021_8_27_1_3,1004.7,21.7,21.7,21.6,76,17.3,18.5,8.0,2.01,17.7,21.7,22.2,22.2,21.0,0.0,0.0,0,0.0,0,0.0,0.0,0.035,76.4,0,2021-08-27 01:03:00,1
120,20.942,788,2021,8,34,239,27,5,2,2021_8_27_2_1,1004.6,21.2,21.4,21.2,78,17.2,18.3,6.4,1.61,14.5,21.2,21.8,21.8,20.5,0.0,0.0,0,0.0,0,0.0,0.0,0.03,79.6,0,2021-08-27 02:01:00,6
122,21.208,788,2021,8,34,239,27,5,2,2021_8_27_2_3,1004.4,21.2,21.2,21.2,78,17.2,18.3,6.4,1.61,17.7,21.2,21.8,21.8,20.5,0.0,0.0,0,0.0,0,0.0,0.0,0.03,78.7,0,2021-08-27 02:03:00,5
124,20.921,1101,2021,8,34,239,27,5,3,2021_8_27_3_1,1004.8,21.3,21.3,21.2,74,16.5,17.9,9.7,2.41,25.7,21.3,21.7,21.7,20.4,0.0,0.0,0,0.0,0,0.0,0.0,0.031,75.6,0,2021-08-27 03:01:00,4
126,20.234,1101,2021,8,34,239,27,5,3,2021_8_27_3_3,1004.9,20.2,21.0,20.2,77,16.0,17.3,14.5,3.62,27.4,19.4,20.7,19.9,18.7,0.0,0.0,0,0.0,0,0.0,0.0,0.019,75.6,0,2021-08-27 03:03:00,3
128,19.795,788,2021,8,34,239,27,5,4,2021_8_27_4_1,1005.9,19.6,19.7,19.6,80,16.1,17.2,14.5,3.62,24.1,18.9,20.2,19.4,18.2,0.0,0.0,0,0.0,0,0.0,0.0,0.013,77.9,0,2021-08-27 04:01:00,5
130,19.075,1101,2021,8,34,239,27,5,4,2021_8_27_4_3,1006.3,18.8,19.3,18.8,81,15.5,16.6,14.5,3.62,30.6,18.1,19.3,18.6,17.3,0.0,0.0,0,0.0,0,0.0,0.0,0.005,78.8,0,2021-08-27 04:03:00,4
132,18.739,1679,2021,8,34,239,27,5,5,2021_8_27_5_1,1006.6,18.4,18.6,18.4,82,15.3,16.3,16.1,4.02,32.2,17.2,18.8,17.6,16.4,0.0,0.0,0,0.0,0,0.0,0.0,0.001,80.9,0,2021-08-27 05:01:00,1
135,18.088,788,2021,8,34,239,27,5,6,2021_8_27_6_0,1006.8,17.8,18.0,17.8,84,15.1,16.0,12.9,3.22,24.1,17.4,18.1,17.7,16.4,0.0,0.0,0,0.0,0,0.03,0.005,0.0,82.5,0,2021-08-27 06:00:00,6
137,18.293,1101,2021,8,34,239,27,5,6,2021_8_27_6_2,1007.2,18.1,18.1,17.9,81,14.8,15.9,12.9,3.22,25.7,17.8,18.4,18.0,16.7,0.0,0.0,0,0.0,0,0.0,0.002,0.0,79.8,0,2021-08-27 06:02:00,3
140,17.72,1349,2021,8,34,239,27,5,7,2021_8_27_7_1,1007.8,17.5,17.8,17.4,84,14.8,15.7,11.3,2.82,20.9,17.5,17.7,17.7,16.8,0.0,0.0,4,0.09,14,0.0,0.009,0.0,83.0,1,2021-08-27 07:01:00,7
142,17.721,1101,2021,8,34,239,27,5,7,2021_8_27_7_3,1007.8,17.3,17.3,17.2,83,14.4,15.3,12.9,3.22,27.4,16.8,17.5,16.9,16.6,0.0,0.0,24,0.52,25,0.0,0.011,0.0,82.1,1,2021-08-27 07:03:00,4
144,17.486,788,2021,8,34,239,27,5,8,2021_8_27_8_1,1008.4,17.3,17.4,17.3,83,14.4,15.4,11.3,2.82,22.5,17.3,17.5,17.5,16.7,0.0,0.0,13,0.28,18,0.0,0.01,0.0,82.8,1,2021-08-27 08:01:00,6
146,17.684,1101,2021,8,34,239,27,5,8,2021_8_27_8_3,1008.6,17.2,17.3,17.2,83,14.3,15.2,11.3,2.82,22.5,17.1,17.3,17.2,17.0,0.0,0.0,39,0.84,47,0.0,0.012,0.0,84.1,1,2021-08-27 08:03:00,4
148,16.942,1349,2021,8,34,239,27,5,9,2021_8_27_9_1,1008.9,16.4,16.7,16.4,87,14.3,15.0,11.3,2.82,22.5,16.2,16.6,16.4,16.1,0.0,0.0,42,0.9,65,0.0,0.02,0.0,86.2,1,2021-08-27 09:01:00,7
150,16.86,1101,2021,8,34,239,27,5,9,2021_8_27_9_3,1009.0,15.7,16.0,15.7,92,14.4,14.9,8.0,2.01,17.7,15.7,16.0,16.0,15.7,2.4,13.4,48,1.03,69,0.0,0.027,0.0,91.2,3,2021-08-27 09:03:00,4
60,16.174,788,2021,8,34,239,27,5,10,2021_8_27_10_1,1009.6,15.6,15.6,15.5,91,14.1,14.6,11.3,2.82,20.9,15.1,15.8,15.3,15.2,0.2,2.2,57,1.23,63,0.0,0.029,0.0,90.1,4,2021-08-27 10:01:00,6
62,17.103,1349,2021,8,34,239,27,5,10,2021_8_27_10_3,1010.0,15.9,15.9,15.8,92,14.6,15.0,9.7,2.41,16.1,15.7,16.2,16.0,16.4,0.4,2.8,94,2.02,100,0.0,0.025,0.0,90.7,5,2021-08-27 10:03:00,7
65,17.764,1679,2021,8,34,239,27,5,11,2021_8_27_11_2,1009.8,16.5,16.5,16.4,89,14.7,15.3,8.0,2.01,12.9,16.5,16.8,16.8,17.3,0.0,0.0,106,2.28,135,0.0,0.019,0.0,86.9,7,2021-08-27 11:02:00,2
67,19.67,1349,2021,8,34,239,27,5,12,2021_8_27_12_0,1010.9,17.5,17.5,16.8,89,15.7,16.3,6.4,1.61,12.9,17.5,17.9,17.9,20.6,0.0,0.0,268,5.76,348,0.1,0.009,0.0,80.5,18,2021-08-27 12:00:00,7
69,21.243,1101,2021,8,34,239,27,5,12,2021_8_27_12_2,1010.9,18.3,18.3,17.9,84,15.6,16.5,9.7,2.41,19.3,18.3,18.7,18.7,21.5,0.0,0.0,285,6.13,313,0.0,0.0,0.0,77.7,22,2021-08-27 12:02:00,4
71,23.261,1101,2021,8,34,239,27,5,13,2021_8_27_13_0,1010.8,19.4,19.4,19.1,74,14.7,16.2,12.9,3.22,24.1,19.1,19.7,19.3,23.3,0.0,0.0,421,9.06,473,0.25,0.0,0.012,62.9,17,2021-08-27 13:00:00,3
73,20.57,1349,2021,8,34,239,27,5,13,2021_8_27_13_2,1010.5,19.6,19.6,19.3,75,15.0,16.4,11.3,2.82,19.3,19.6,19.9,19.9,23.4,0.0,0.0,357,7.68,868,0.0,0.0,0.013,59.9,33,2021-08-27 13:02:00,7
75,23.608,1679,2021,8,34,239,27,5,14,2021_8_27_14_0,1010.6,20.8,20.8,20.6,72,15.5,17.1,11.3,2.82,20.9,20.8,21.1,21.1,27.3,0.0,0.0,800,17.21,816,0.38,0.0,0.025,51.1,62,2021-08-27 14:00:00,1
77,26.757,1101,2021,8,34,239,27,5,14,2021_8_27_14_2,1010.8,21.2,21.2,20.9,70,15.5,17.2,11.3,2.82,20.9,21.2,21.4,21.4,27.5,0.0,0.0,778,16.74,793,0.0,0.0,0.03,49.8,48,2021-08-27 14:02:00,3
79,23.943,1101,2021,8,34,239,27,5,15,2021_8_27_15_0,1010.5,21.8,22.1,21.8,66,15.2,17.1,8.0,2.01,17.7,21.8,21.9,21.9,28.1,0.0,0.0,752,16.18,765,0.51,0.0,0.036,49.4,53,2021-08-27 15:00:00,4
81,24.41,1679,2021,8,34,239,27,5,15,2021_8_27_15_2,1010.4,22.0,22.0,21.7,69,16.0,17.7,9.7,2.41,20.9,22.0,22.2,22.2,28.4,0.0,0.0,716,15.4,737,0.0,0.0,0.038,48.6,50,2021-08-27 15:02:00,1
83,26.677,1349,2021,8,34,239,27,5,16,2021_8_27_16_0,1010.2,21.9,22.2,21.7,69,15.9,17.6,8.0,2.01,14.5,21.9,22.1,22.1,27.1,0.0,0.0,441,9.49,714,0.41,0.0,0.037,50.6,46,2021-08-27 16:00:00,7
86,26.352,788,2021,8,34,239,27,5,16,2021_8_27_16_3,1010.2,22.3,22.5,21.9,67,15.9,17.6,8.0,2.01,16.1,22.3,22.5,22.5,27.4,0.0,0.0,394,8.48,626,0.0,0.0,0.041,54.6,31,2021-08-27 16:03:00,6
88,25.183,1101,2021,8,34,239,27,5,17,2021_8_27_17_1,1010.2,22.2,22.3,21.4,67,15.8,17.6,6.4,1.61,14.5,22.2,22.4,22.4,27.6,0.0,0.0,389,8.37,513,0.0,0.0,0.041,56.9,12,2021-08-27 17:01:00,4
90,23.56,1101,2021,8,34,239,27,5,17,2021_8_27_17_3,1009.9,22.1,22.3,21.9,67,15.7,17.5,4.8,1.21,9.7,22.1,22.3,22.3,26.2,0.0,0.0,259,5.57,399,0.0,0.0,0.039,61.1,14,2021-08-27 17:03:00,3
92,23.045,788,2021,8,34,239,27,5,18,2021_8_27_18_1,1009.7,22.3,22.7,22.3,66,15.6,17.5,4.8,1.21,12.9,22.3,22.5,22.5,26.6,0.0,0.0,249,5.36,313,0.0,0.0,0.041,65.8,8,2021-08-27 18:01:00,6
94,21.851,1679,2021,8,34,239,27,5,18,2021_8_27_18_3,1009.5,21.7,21.9,21.7,68,15.5,17.3,4.8,1.21,9.7,21.7,21.8,21.8,24.2,0.0,0.0,142,3.05,221,0.0,0.0,0.035,66.3,6,2021-08-27 18:03:00,2
96,21.875,1349,2021,8,34,239,27,5,19,2021_8_27_19_1,1009.4,21.6,21.8,21.6,71,16.1,17.7,3.2,0.8,4.8,21.6,21.9,21.9,23.4,0.0,0.0,103,2.22,137,0.0,0.0,0.034,68.0,2,2021-08-27 19:01:00,7
98,19.481,788,2021,8,34,239,27,5,19,2021_8_27_19_3,1009.4,20.2,21.0,20.2,78,16.2,17.4,0.0,0.0,3.2,20.2,20.7,20.7,19.6,0.0,0.0,20,0.43,26,0.0,0.0,0.019,78.9,0,2021-08-27 19:03:00,6
104,17.986,788,2021,8,34,239,27,5,20,2021_8_27_20_1,1009.7,18.4,19.3,18.4,83,15.5,16.4,0.0,0.0,0.0,18.4,18.8,18.8,17.4,0.0,0.0,0,0.0,0,0.0,0.0,0.001,85.4,0,2021-08-27 20:01:00,5
107,17.635,1679,2021,8,34,239,27,5,21,2021_8_27_21_0,1010.1,17.8,18.0,17.8,87,15.6,16.3,0.0,0.0,3.2,17.8,18.1,18.1,16.8,0.0,0.0,0,0.0,0,0.0,0.006,0.0,88.7,0,2021-08-27 21:00:00,1
110,16.146,788,2021,8,34,239,27,5,21,2021_8_27_21_3,1010.6,16.6,16.9,16.6,89,14.7,15.4,0.0,0.0,1.6,16.6,16.8,16.8,15.4,0.0,0.0,0,0.0,0,0.0,0.019,0.0,89.5,0,2021-08-27 21:03:00,6
112,16.137,1679,2021,8,34,239,27,5,22,2021_8_27_22_1,1010.8,15.8,16.1,15.8,91,14.4,14.9,1.6,0.4,3.2,15.8,16.1,16.1,14.6,0.0,0.0,0,0.0,0,0.0,0.026,0.0,90.2,0,2021-08-27 22:01:00,2
115,15.266,1101,2021,8,34,239,27,5,23,2021_8_27_23_0,1010.8,15.3,15.6,15.3,91,13.8,14.3,0.0,0.0,0.0,15.3,15.5,15.5,14.0,0.0,0.0,0,0.0,0,0.0,0.032,0.0,90.6,0,2021-08-27 23:00:00,4
117,15.228,788,2021,8,34,239,27,5,23,2021_8_27_23_2,1010.8,14.7,14.9,14.7,92,13.4,13.9,0.0,0.0,0.0,14.7,14.8,14.8,13.3,0.0,0.0,0,0.0,0,0.0,0.038,0.0,91.7,0,2021-08-27 23:02:00,6
55,21.909,1101,2021,8,34,239,27,5,0,2021_8_27_0_0,1004.5,22.4,22.5,22.4,72,17.1,18.6,8.0,2.01,19.3,22.4,22.9,22.9,21.6,0.0,0.0,0,0.0,0,0.05,0.0,0.042,72.8,0,2021-08-27 00:00:00,4
153,15.491,788,2021,8,34,240,28,6,0,2021_8_28_0_2,1011.1,14.4,14.4,14.3,95,13.6,13.9,0.0,0.0,0.0,14.4,14.6,14.6,13.1,0.0,0.0,0,0.0,0,0.0,0.041,0.0,92.6,0,2021-08-28 00:02:00,5
196,15.648,1679,2021,8,34,240,28,6,1,2021_8_28_1_1,1010.7,14.9,14.9,14.7,93,13.8,14.2,0.0,0.0,1.6,14.9,15.1,15.1,13.6,0.0,0.0,0,0.0,0,0.0,0.036,0.0,91.7,0,2021-08-28 01:01:00,1
198,14.824,1349,2021,8,34,240,28,6,1,2021_8_28_1_3,1010.7,14.2,14.4,14.2,93,13.1,13.5,0.0,0.0,0.0,14.2,14.4,14.4,12.9,0.0,0.0,0,0.0,0,0.0,0.043,0.0,91.6,0,2021-08-28 01:03:00,7
